procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
20  0      0   4624      0 15126940    0    0     0     0 31703  781 86  0 14  0  0  0
 1  0      0   5440      0 15126940    0    0     0    68 10368  521 27  0 72  0  0  0
32  0      0  29440      0 12070935    0    0     0     0 21120 4316  4 57 38  0  0  0
32  0      0   1536      0 10925412    0    0     0    80 31781 1950 75 22  3  0  0  0
32  0      0   1460      0 10925412    0    0     0     0 32546  382 100  0  0  0  0  0
32  0      0   1460      0 10925412    0    0     0     0 32291  365 100  0  0  0  0  0
32  0      0   1460      0 10925410    0    0     0     0 32401  434 100  0  0  0  0  0
23  0      0   1716      0 10925410    0    0     0    12 31229  834 95  0  5  0  0  0
19  0      0   1952      0 10925409    0    0     0     0 22187  333 64  0 36  0  0  0
33  0      0   1280      0 10055472    0    0     0     0 16441 2170 39  6 55  0  0  0
24  0      0   1024      0 7043790    0    0     0     0 31986 4183 47 49  5  0  0  0
32  0      0    768      0 6723925    0    0     0     0 26714 1877 75  3 22  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
32  0      0    352      0 6723922    0    0     0    24 28379 1387 79  4 17  0  0  0
32  0      0    352      0 6723922    0    0     0    80 45431  498 99  1  0  0  0  0
32  0      0    352      0 6723922    0    0     0     0 48373  404 99  1  0  0  0  0
32  0      0    352      0 6723922    0    0     0     0 58109  582 98  2  0  0  0  0
32  0      0    352      0 6723922    0    0     0     0 76224  641 97  3  0  0  0  0
20  0      0   1144      0 6723922    0    0     0     0 47150  510 75  2 24  0  0  0
 1  0      0   1896      0 6723922    0    0     0    12 21744  409 43  1 56  0  0  0
32  0      0     52      0 6723921    0    0     0     0 23660 2058 66  4 30  0  0  0
 1  0      0   2624      0 6723921    0    0     0     0 27991 1149 84  0 16  0  0  0
 1  0      0   2624      0 6723921    0    0     0     0 1132  147  3  0 97  0  0  0
 1  0      0   2624      0 6723921    0    0     0   140 1178  212  3  0 97  0  0  0
 1  0      0   2624      0 6723921    0    0     0     0 1185  268  3  0 97  0  0  0
 1  0      0   2396      0 6723921    0    0     0    12 1137  170  3  0 97  0  0  0
 1  0      0   2396      0 6723921    0    0     0     0 1125  154  3  0 97  0  0  0
 1  0      0   2396      0 6723921    0    0     0     0 1111  167  3  0 97  0  0  0
 1  0      0   2520      0 6723921    0    0     0     0 1177  337  3  1 97  0  0  0
 1  0      0   2520      0 6723921    0    0     0     4 1177  293  2  1 97  0  0  0
 1  0      0   2532      0 6723921    0    0     0     0 1111  163  2  1 97  0  0  0
 1  0      0   2532      0 6723921    0    0     0    12 1245  435  3  0 97  0  0  0
 1  0      0   2532      0 6723921    0    0     0     0 1141  262  2  1 97  0  0  0
 1  0      0   2532      0 6723921    0    0     0     0 1111  180  2  1 97  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0   2532      0 6723921    0    0     0     0 1112  154  3  0 97  0  0  0
 1  0      0   2532      0 6723921    0    0     0     4 1087  145  3  1 97  0  0  0
 1  0      0 1011124      0 6723921    0    0     0     0 1163  287  2  1 97  0  0  0
 1  0      0 7492616      0 7638708    0    0     0    12 1107  177  0  3 97  0  0  0
 0  2      0 5996040      0 9135369    0    0     0 90120 1545  332  0  3 97  0  0  0
 1  1      0 5394872      0 9736223    0    0     0 468996 3382  754  0  2 97  1  0  0
 2  0      0 4875448      0 10255618    0    0     0 468988 3412  833  0  2 97  1  0  0
 1  1      0 4381112      0 10749842    0    0     0 462836 3222  685  0  2 97  1  0  0
 2  0      0 3903928      0 11227205    0    0     0 458984 3196  662  0  2 97  1  0  0
 1  1      0 3426748      0 11704432    0    0     0 475140 3255  703  0  2 97  1  0  0
 2  1      0 2945468      0 12185786    0    0     0 466948 3253  753  0  2 97  1  0  0
 2  1      0 2466236      0 12665086    0    0     0 466948 3184  662  0  2 97  1  0  0
 1  1      0 1989052      0 13142237    0    0     0 466948 3155  654  0  2 97  1  0  0
