rocs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
33  1      0   4608      0 20520475    0    0     0 448540 18136 1578 46  2 51  1  0  0
32  0      0   4608      0 20520475    0    0     0 14308 70589  976 99  1  0  0  0  0
32  0      0   4608      0 20520475    0    0     0     0 120439  677 97  3  0  0  0  0
32  0      0   4608      0 20520475    0    0     0     0 67518  573 99  1  0  0  0  0
32  0      0   4608      0 20520475    0    0     0    72 222084  406 95  5  0  0  0  0
32  0      0   4860      0 20520475    0    0     0   132 32570  592 100  0  0  0  0  0
33  1      0   5116      0 20520474    0    0     0 232456 104883 1659 97  2  0  0  0  0
32  1      0   5116      0 20520474    0    0     0 465572 109317 2572 98  1  0  0  0  0
33  0      0   5120      0 20520474    0    0     0 461144 171780 2406 94  5  0  0  0  0
28  1      0   5120      0 20520474    0    0     0 466944 34712 2280 98  0  2  0  0  0
16  0      0   5120      0 20520474    0    0     0 147484 113695  634 58  4 38  0  0  0
 1  0      0    256      0 20525346    0    0     0    76 13057  543 35  1 64  0  0  0
 1  0      0   4608      0 20520767    0    0     0     0 1189  869  1  3 97  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0      0      0 20525581    0    0     0     0 1127  813  1  2 97  0  0  0
 1  0      0    768      0 20524901    0    0     0     0 1238 1139  1  2 97  0  0  0
 1  1      0   1024      0 20524568    0    0     0 393228 3148 1247  1  2 97  0  0  0
 0  2      0   4096      0 20521551    0    0     0 458876 3384 1165  1  2 97  0  0  0
 1  1      0   2816      0 20522784    0    0     0 466948 3269 1040  0  2 97  1  0  0
 0  2      0      0      0 20525566    0    0     0 458756 3286  949  0  2 97  1  0  0
 2  1      0    256      0 20525335    0    0     0 466948 3255  946  0  2 94  3  0  0
 1  1      0   2560      0 20522916    0    0     0 466948 3239  905  1  3 94  3  0  0
 2  0      0      0      0 20525671    0    0     0 458848 3415 1319  1  3 94  3  0  0
 2  0      0   3584      0 20521938    0    0     0 467060 3371 1074  1  3 94  3  0  0
 1  1      0    256      0 20525482    0    0     0 466948 3362  923  1  3 94  3  0  0
 1  1      0   2048      0 20523400    0    0     0 466948 3412  963  1  3 94  2  0  0
 1  1      0   3328      0 20521815    0    0     0 458756 3346 1020  1  3 94  3  0  0
 3  1      0    768      0 20524551    0    0     0 467048 3371 1007  1  3 94  3  0  0
 1  2      0   4352      0 20520961    0    0     0 466948 3352 1091  1  3 94  3  0  0
 1  1      0   4608      0 20520728    0    0     0 458756 3254  938  0  3 94  3  0  0
 1  1      0      0      0 20525402    0    0     0 465064 3447 1047  0  3 94  3  0  0
 1  1      0   3328      0 20522053    0    0     0 467816 3384  951  0  3 94  3  0  0
 1  1      0   1792      0 20523648    0    0     0 467468 3562  992  1  2 94  3  0  0
 1  1      0   1792      0 20523648    0    0     0 459508 3535  593  3  1 94  2  0  0
 2  0      0   1792      0 20523648    0    0     0 442372 3409  729  2  1 94  2  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
32  1      0   1792      0 20523648    0    0     0 458756 34322 1129 58  1 40  1  0  0
32  0      0   1792      0 20523648    0    0     0 45052 77000  455 98  2  0  0  0  0
32  0      0   1544      0 20523648    0    0     0    80 140820 1355 97  3  0  0  0  0
33  0      0   1544      0 20523648    0    0     0     0 114609  572 98  2  0  0  0  0
32  0      0   1544      0 20523648    0    0     0     0 78386  367 99  1  0  0  0  0
32  0      0   1544      0 20523648    0    0     0     0 158219  550 97  3  0  0  0  0
32  1      0   1544      0 20523648    0    0     0 372740 68112 1219 99  1  0  0  0  0
32  1      0   1544      0 20523648    0    0     0 442432 103178 1484 99  1  0  0  0  0
32  1      0   1544      0 20523648    0    0     0 450740 162058 1140 97  3  0  0  0  0
28  0      0   1544      0 20523648    0    0     0 450560 114735 1168 95  2  3  0  0  0
10  0      0   1544      0 20523648    0    0     0 65532 92264  364 57  2 41  0  0  0
 1  0      0   3840      0 20521305    0    0     0     0 6265  671 16  1 83  0  0  0
 1  0      0   2048      0 20522987    0    0     0    68 1135  770  1  2 97  0  0  0
 1  0      0   3840      0 20521193    0    0     0     0 1164  832  1  2 97  0  0  0
 1  1      0   2560      0 20522592    0    0     0 135172 1785  893  1  2 97  0  0  0
 1  1      0   2048      0 20523137    0    0     0 454664 3500 1340  1  2 97  0  0  0
 1  1      0   2304      0 20522893    0    0     0 466948 3235  939  0  2 97  1  0  0
 2  1      0   4864      0 20520246    0    0     0 467204 3472 1097  1  2 97  1  0  0
 2  0      0   3328      0 20521164    0    0     0 466948 3314  936  1  2 97  0  0  0
 1  1      0   4864      0 20519810    0    0     0 458756 3358 1019  1  2 97  0  0  0
 2  1      0   2048      0 20522088    0    0     0 466948 3323  914  1  2 97  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  1      0   2560      0 20522179    0    0     0 458756 3295  951  1  2 97  1  0  0
 1  1      0   1280      0 20523347    0    0     0 467056 3312 1006  0  2 97  1  0  0
 2  1      0   4352      0 20519870    0    0     0 466948 3336 1058  0  2 97  1  0  0
 2  1      0   1280      0 20523252    0    0     0 467040 3304  971  0  2 97  1  0  0
 3  0      0   3584      0 20521284    0    0     0 458756 3282  948  0  2 97  1  0  0
 1  1      0   2304      0 20522650    0    0     0 466948 3239  931  0  2 97  1  0  0
 1  1      0    512      0 20524299    0    0     0 467080 3394 1144  0  2 97  1  0  0
 0  2      0   4096      0 20520620    0    0     0 467124 3315  974  0  2 97  1  0  0
 2  0      0   3328      0 20521283    0    0     0 459808 3389  931  1  2 97  1  0  0
 2  1      0    512      0 20524281    0    0     0 461504 3368  916  1  2 97  1  0  0
 2  1      0   3824      0 20521822    0    0     0 470108 3775  914  2  1 97  0  0  0
 1  1      0   3824      0 20521822    0    0     0 451896 3487  662  3  0 97  0  0  0
 2  0      0   3824      0 20521822    0    0     0 450564 3410  665  2  1 97  0  0  0
32  0      0   3824      0 20521822    0    0     0 315388 24325  931 70  0 30  0  0  0
32  0      0   3824      0 20521822    0    0     0     0 73255  766 98  2  0  0  0  0
32  0      0   3824      0 20521822    0    0     0     0 101061  291 98  2  0  0  0  0
32  0      0   3628      0 20521822    0    0     0     0 49241  658 99  1  0  0  0  0
32  0      0   3628      0 20521822    0    0     0   172 32355  436 100  0  0  0  0  0
32  1      0   3628      0 20521822    0    0     0 45064 87744  828 99  1  0  0  0  0
33  0      0   3628      0 20521822    0    0     0 466944 67316 2947 99  1  0  0  0  0
32  1      0   3628      0 20521822    0    0     0 458752 35187 2609 100  0  0  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
32  1      0   3628      0 20521822    0    0     0 466944 166008 2340 97  3  0  0  0  0
28  0      0   3628      0 20521822    0    0     0 327676 34528 2090 98  0  2  0  0  0
 1  0      0   3328      0 20522129    0    0     0   180 15653  455 44  0 56  0  0  0
 2  0      0      0      0 20525384    0    0     0     0 1097  698  1  2 97  0  0  0
 1  0      0   1024      0 20524405    0    0     0     0 1099  698  1  2 97  0  0  0
 1  0      0      0      0 20525633    0    0     0     0 1296  978  1  2 97  0  0  0
 1  1      0   1536      0 20524020    0    0     0 425988 3374 1293  1  2 97  0  0  0
 2  1      0   4352      0 20521293    0    0     0 458908 3327 1077  1  3 94  3  0  0
 1  1      0   4608      0 20521066    0    0     0 466948 3288  938  0  3 94  3  0  0
 2  1      0   2560      0 20522859    0    0     0 466948 3341 1030  1  3 94  3  0  0
 1  2      0    768      0 20524759    0    0     0 466948 3359  984  1  3 94  3  0  0
 2  0      0    768      0 20524788    0    0     0 458756 3269  932  0  3 94  3  0  0
 1  1      0    512      0 20525014    0    0     0 467048 3365 1078  1  3 94  3  0  0
 2  1      0   4608      0 20521042    0    0     0 466948 3443 1065  1  3 94  3  0  0
 1  1      0   4096      0 20521658    0    0     0 466592 3398 1014  0  3 94  3  0  0
 3  0      0   4096      0 20521610    0    0     0 459112 3528 1071  0  3 94  3  0  0
 1  1      0    512      0 20525533    0    0     0 467972 3454  969  0  3 94  3  0  0
 2  0      0   3840      0 20522206    0    0     0 474376 3660 1158  0  3 94  3  0  0
 2  0      0   3072      0 20522386    0    0     0 458756 3462 1077  0  3 94  3  0  0
 1  1      0   3328      0 20522455    0    0     0 466948 3269  940  0  3 94  3  0  0
 0  2      0      0      0 20525777    0    0     0 467040 3376 1038  1  3 94  3  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  2      0   1280      0 20524434    0    0     0 454772 3280 1035  1  3 94  3  0  0
