procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0   2304      0 14745847    0    0     0 466944 3501 1319  1  2 97  0  0  0
 2  1      0   1792      0 14747083    0    0     0 466944 3790 1387  1  2 97  1  0  0
 1  2      0      0      0 14748891    0    0     0 474496 3454 1087  1  2 97  1  0  0
 1  1      0    768      0 14748106    0    0     0 475068 3467 1151  1  2 97  1  0  0
 2  0      0    768      0 14748018    0    0     0 475100 3379 1028  0  2 97  0  0  0
 1  1      0    512      0 14748137    0    0     0 467152 3565 1104  0  2 97  1  0  0
 0  2      0   1536      0 14747074    0    0     0 475752 3517 1124  0  2 97  1  0  0
 1  1      0      0      0 14748794    0    0     0 475248 3438 1279  0  2 97  1  0  0
 1  1      0   1280      0 14747580    0    0     0 467088 3380 1054  0  2 97  0  0  0
 2  1      0   1792      0 14746955    0    0     0 475140 3361 1029  0  2 97  1  0  0
 1  1      0   2048      0 14746445    0    0     0 475140 3337 1038  1  2 97  1  0  0
 2  0      0   3072      0 14745573    0    0     0 467024 3536 1255  0  2 97  1  0  0
 1  1      0   1792      0 14747015    0    0     0 475236 3390 1184  0  2 97  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0   3584      0 14745213    0    0     0 475140 3438 1039  0  2 97  1  0  0
 2  1      0   2560      0 14746168    0    0     0 475140 3361  998  1  2 97  0  0  0
 2  1      0   1792      0 14746957    0    0     0 466940 3404 1213  1  2 97  1  0  0
 1  1      0   3584      0 14745157    0    0     0 475140 3340 1045  1  2 97  1  0  0
 2  0      0    256      0 14748533    0    0     0 450672 3288 1035  0  2 97  1  0  0
 2  0      0   3328      0 14745374    0    0     0 442524 3243 1098  1  2 97  1  0  0
 1  1      0      0      0 14748642    0    0     0 483332 3412 1107  1  2 97  1  0  0
 2  1      0   1536      0 14747044    0    0     0 466948 3355 1016  1  2 97  0  0  0
 1  1      0   2048      0 14746507    0    0     0 450564 3327 1134  0  2 97  1  0  0
 2  1      0   2048      0 14746554    0    0     0 434276 3250 1133  1  2 97  1  0  0
 1  1      0    512      0 14747852    0    0     0 434180 3242 1097  1  2 97  0  0  0
 1  1      0   3328      0 14745159    0    0     0 466948 3425 1401  0  2 97  1  0  0
 0  2      0    768      0 14747652    0    0     0 450564 3359 1128  1  2 97  1  0  0
 2  0      0    512      0 14748209    0    0     0 385116 3078 1036  0  2 97  1  0  0
 1  1      0   2304      0 14746255    0    0     0 379456 3066 1051  1  2 97  1  0  0
 2  0      0    256      0 14748257    0    0     0 423484 3254  963  1  2 97  1  0  0
 0  2      0      0      0 14748433    0    0     0 471388 3599 1004  1  2 97  0  0  0
 1  1      0 9507588      0 14745391    0    0     0 470792 3663  834  0  3 97  0  0  0
 0  1      0 16921988      0 14888242    0    0 142592 12284 1771 1316  0  3 97  0  0  0
 1  0      0 16211844      0 15242802    0    0 354816     0 2330 2704  0  2 97  1  0  0
 1  0      0 15494788      0 15601010    0    0 358144     0 2392 2683  0  2 97  1  0  0
